seed,pval
1749,0.1568
1,0.0016266821860678234
1,0.0016266821860678234
2,0.005114034337208547
3,1.9841086512859294e-4
4,7.608881329601459e-4
5,1.3328029152994995e-4
6,0.29203149437279546
7,0.02155859058871473
8,2.7637538124672303e-4
9,0.5800257654512121
10,0.005679554910723194
11,0.1659258303442143
12,0.005734430080114738
13,1.2117021403232258e-4
14,0.2284512325991192
15,0.13200456364554916
16,8.091456551745853e-4
17,0.08785752281806841
18,0.4828355480326027
19,0.008232160161534224
20,0.08418080094173715
21,0.09090033231513013
22,0.023692899341938894
23,0.2515191867119485
24,0.08444223838908868
25,0.028421492013116546
26,0.07638422944027257
27,0.011179639755912182
28,0.05604745278941132
29,0.016347048029072345
30,0.0013760158952578242
31,0.5919927200339303
32,0.08265534958360037
33,0.006814347143027093
34,0.3679904131609583
35,0.08122316942423301
36,0.025191538154173364
37,0.03090579170958941
38,0.0186475349871226
39,0.007669834182244439
40,0.0028529368739090705
41,0.01826019391014286
42,0.0073258985082368736
43,0.008784527716774147
44,0.16344848271652598
45,0.4514312595897346
46,0.001301893948271603
47,4.4346841862417484e-5
48,5.164281545211282e-4
49,0.007308072149736482
50,9.955094724402144e-4
51,5.234464106439719e-7
52,0.38578505412201175
53,0.06961013354131841
54,0.14369367911280134
55,0.7232089882257053
56,0.07336255978277735
57,0.19337405089789575
58,0.05312279816081535
59,0.01142732248473592
60,0.2848401563281215
61,0.03615117464571877
62,0.004624718558647822
63,0.003982994783270967
64,3.755336212616351e-5
65,0.3109890987011393
66,0.06474334026709523
67,0.03006534779665529
68,0.010317282113108518
69,0.05930329692948818
70,0.10815907918509092
71,0.06960019863888098
72,0.00991827426186049
73,2.0152812007979862e-4
74,0.05075003638015207
75,0.10671122399156051
76,1.1221132161254583e-4
77,2.4076136361749913e-4
78,3.883263872170693e-6
79,0.049321350160028817
80,0.338078615836436
81,0.012055404872993487
82,0.08078061240548097
83,0.002680382465247735
84,0.0013126867012239233
85,0.034968340606902563
86,0.17914814534091766
87,0.012144788462788042
88,0.0424968987736899
89,1.4100598601967972e-5
90,0.044401505218285356
91,0.1544032652729337
92,0.6118507958203786
93,0.4202050138937119
94,0.07668900810784268
95,0.02223547894072131
96,0.038400912051394856
97,0.018925948881274746
98,0.5439258727225493
99,0.009154952530963203
100,0.14322466082991464
1749,4.969511155955273e-4
